feeder,category,before_share_percent,after_share_percent,consumer_count,bill_count_before,bill_count_after
035-BHIRENGAON 11 KV,<=30 days,49.608695652173914,39.725396947150415,5248,25300,26074
035-BHIRENGAON 11 KV,30-35 days,36.89723320158103,57.80087443430237,5248,25300,26074
035-BHIRENGAON 11 KV,35-40 days,7.367588932806324,0.931962874894531,5248,25300,26074
035-BHIRENGAON 11 KV,40-60 days,2.158102766798419,1.2924752627138145,5248,25300,26074
035-BHIRENGAON 11 KV,>60 days,3.9683794466403164,0.2492904809388663,5248,25300,26074
035-DADGARI 11 KV,<=30 days,43.238790161233375,40.07452574525745,1781,8497,8856
035-DADGARI 11 KV,30-35 days,40.108273508297046,58.220415537488705,1781,8497,8856
035-DADGARI 11 KV,35-40 days,6.637636812992821,0.33875338753387535,1781,8497,8856
035-DADGARI 11 KV,40-60 days,3.4482758620689653,1.1404697380307136,1781,8497,8856
035-DADGARI 11 KV,>60 days,6.567023655407791,0.22583559168925021,1781,8497,8856
035-DOMGAON 11 KV,<=30 days,43.990799309948244,40.37030314031585,1106,5217,5509
035-DOMGAON 11 KV,30-35 days,42.514855280812725,57.941550190597205,1106,5217,5509
035-DOMGAON 11 KV,35-40 days,4.159478627563734,0.3267380649845707,1106,5217,5509
035-DOMGAON 11 KV,40-60 days,3.8911251677209124,1.2161916863314577,1106,5217,5509
035-DOMGAON 11 KV,>60 days,5.44374161395438,0.1452169177709203,1106,5217,5509
035-POPRAGAON 11 KV,<=30 days,45.08649578842496,40.47766475011057,2266,11041,11305
035-POPRAGAON 11 KV,30-35 days,48.310841409292635,58.70853604599735,2266,11041,11305
035-POPRAGAON 11 KV,35-40 days,1.9925731364912598,0.17691287041132242,2266,11041,11305
035-POPRAGAON 11 KV,40-60 days,1.0506294719681188,0.4953560371517028,2266,11041,11305
035-POPRAGAON 11 KV,>60 days,3.5594601938230235,0.14153029632905795,2266,11041,11305
035-SANTIPUR 11 KV,<=30 days,45.39743899492631,39.93265993265993,894,4139,4455
035-SANTIPUR 11 KV,30-35 days,34.91181444793428,58.74298540965208,894,4139,4455
035-SANTIPUR 11 KV,35-40 days,11.017153901908674,0.29180695847362514,894,4139,4455
035-SANTIPUR 11 KV,40-60 days,2.6818071998067166,0.9427609427609428,894,4139,4455
035-SANTIPUR 11 KV,>60 days,5.991785455424015,0.08978675645342311,894,4139,4455
035-SHYAMTHAIBARI 11 KV,<=30 days,44.89763017894567,40.67926848009836,1311,6203,6507
035-SHYAMTHAIBARI 11 KV,30-35 days,39.6421086571014,57.92223759028738,1311,6203,6507
035-SHYAMTHAIBARI 11 KV,35-40 days,9.253586974044817,0.5071461502996772,1311,6203,6507
035-SHYAMTHAIBARI 11 KV,40-60 days,2.111881347734967,0.6147226064238512,1311,6203,6507
035-SHYAMTHAIBARI 11 KV,>60 days,4.094792842173142,0.2766251728907331,1311,6203,6507
overall,<=30 days,45.1593607165864,40.042471491738425,13843,65198,68752
overall,30-35 days,38.53645817356361,57.92413311612753,13843,65198,68752
overall,35-40 days,6.3406852970950025,0.5803467535489877,13843,65198,68752
overall,40-60 days,2.845179299978527,1.134512450546893,13843,65198,68752
overall,>60 days,7.118316512776466,0.31853618803816613,13843,65198,68752
