section,sr_no,name_of_station,available_mu,dispatch_mu,fixed_cost_rs_crore,variable_cost_rs_per_kwh,variable_cost_rs_crore,total_cost_rs_crore
IPP/Others,1.0,Adani Power Ltd Bid 1,8935.0,736.0,662.0,4.37,322.0,984.0
IPP/Others,2.0,Adani Power Ltd Bid 2,9188.0,4403.0,741.0,4.11,1810.0,2551.0
IPP/Others,3.0,Essar Power Gujarat Ltd,8354.0,688.0,299.0,4.71,324.0,623.0
IPP/Others,4.0,ACB India Ltd,1489.0,1489.0,129.0,0.66,98.0,227.0
IPP/Others,5.0,Coastal Gujarat Power Co Ltd,13440.0,13440.0,985.0,4.02,5403.0,6388.0
IPP/Others,6.0,DB Power,2310.0,2310.0,597.0,1.67,386.0,983.0
IPP/Others,7.0,MTOA,,,,1.79,,
IPP/Others,8.0,Pump Storage,101.0,101.0,,5.02,51.0,51.0
IPP/Others,9.0,Battery Storage,962.0,962.0,,3.82,368.0,368.0
IPP/Others,10.0,Power Exchange,,7046.0,,6.02,4242.0,4242.0
IPP/Others,11.0,Short term power purchase,,609.0,,6.63,404.0,404.0
IPP/Others,,Sub Total,49925.0,35661.0,4181.0,,15000.0,19181.0
Central Sector,1.0,NPC-Tarapur 1 & 2,1084.0,1084.0,,3.42,371.0,371.0
Central Sector,2.0,NPC-Tarapur 3 & 4,1857.0,1857.0,,3.42,635.0,635.0
Central Sector,3.0,NPC-Kakrapar,4116.0,4116.0,,4.08,1679.0,1679.0
Central Sector,4.0,NTPC-Vindhyachal - I,1698.0,1698.0,170.0,1.68,285.0,455.0
Central Sector,5.0,NTPC-Vindhyachal - II,1852.0,1852.0,156.0,1.61,298.0,454.0
Central Sector,6.0,NTPC-Vindhyachal - III,2188.0,2188.0,250.0,1.6,350.0,600.0
Central Sector,7.0,NTPC-Korba,2591.0,2591.0,156.0,1.6,415.0,571.0
Central Sector,8.0,NTPC-Korba -II,1036.0,1036.0,122.0,1.57,163.0,285.0
Central Sector,9.0,NTPC-Kawas,17.0,17.0,124.0,11.45,19.0,143.0
Central Sector,10.0,NTPC-Jhanor,24.0,24.0,207.0,11.61,28.0,235.0
Central Sector,11.0,NTPC-Sipat-I,3929.0,3929.0,601.0,1.55,609.0,1210.0
Central Sector,12.0,NTPC-Sipat - II,2138.0,2138.0,264.0,1.61,344.0,608.0
Central Sector,13.0,NTPC-Kahlagaon,397.0,397.0,,2.87,114.0,114.0
Central Sector,14.0,NTPC-Kahlagaon I,1082.0,1082.0,112.0,3.16,342.0,454.0
Central Sector,15.0,NTPC-Vindhyachal - IV,1847.0,1847.0,407.0,1.53,283.0,690.0
Central Sector,16.0,NTPC-Mauda,1775.0,1775.0,309.0,3.5,621.0,930.0
Central Sector,17.0,NTPC-Vindhyachal - V,722.0,722.0,176.0,1.63,118.0,294.0
Central Sector,18.0,NTPC-Mauda II,2009.0,2009.0,379.0,3.56,715.0,1094.0
Central Sector,19.0,NTPC-Solapur,124.0,14.0,127.0,4.82,7.0,134.0
Central Sector,20.0,NTPC-Gadarwara,2156.0,2156.0,536.0,3.75,809.0,1345.0
Central Sector,21.0,NTPC-LARA,1295.0,1295.0,274.0,3.82,495.0,769.0
Central Sector,22.0,NTPC-Khargone,1619.0,1619.0,495.0,4.06,657.0,1152.0
Central Sector,23.0,NTPC-Farakka - 3,180.0,180.0,36.0,3.28,59.0,95.0
Central Sector,24.0,NTPC-Farakka - 1 & 2,80.0,80.0,78.0,3.43,27.0,105.0
Central Sector,25.0,NTPC-Farakka - 1 & 2 -DE,718.0,718.0,,3.43,246.0,246.0
Central Sector,26.0,NTPC-Unchahar - 1,97.0,14.0,14.0,4.69,6.0,20.0
Central Sector,27.0,NTPC-Barah - 1,793.0,793.0,184.0,3.2,254.0,438.0
